name,brand,price,ratings,specs_score,os,processor,ram_size,ram_type,storage,graphics,screen_size,resoultion,cores,threads,warranty_months
HP OmniBook 7 FR0066TU Laptop (Intel Ultra 5-225H/ 16GB/ 512GB SSD/ Win11),HP,81990,"4,55",60.0,Windows 11 OS,Intel Core Ultra 5 225H,16 GB,Standard,512 GB SSD,Intel Arc GPU,16 inches,2880 x 1800 pixels,14 Cores (4P + 8E + 2LP-E), 14 Threads,12.0
Acer Aspire Lite AL15-52H Laptop (Intel Core i5-13420H/ 16GB/ 512GB SSD/ Win11),Acer,48500,4,53.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,LPDDR5,512 GB SSD,Intel Integrated UHD,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Lenovo IdeaPad Slim 3 83K100HSIN Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),Lenovo,62350,"4,3",54.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,LPDDR5,1 TB SSD,Intel Integrated UHD,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Asus Vivobook Go 15 E1504FA-BQ2343WS Laptop (AMD Ryzen 3 7320U / 16GB/ 512GB SSD/ Win11 Home),Asus,34990,"4,6",51.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,16 GB,LPDDR5,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Acer Travel Lite TL04-51M Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,39999,"4,1",53.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB,Standard,512 GB SSD,Intel Iris Xe,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
HP 15-FD1444TU Laptop (Intel Core 5 120U/ 8GB/ 512GB SSD/ Win11 Home),HP,51940,"4,25",60.69506172839506,Windows 11 OS,Intel Core 5 Processor Series 1 120U,8 GB,DDR4,512 GB SSD,Intel Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
Asus TUF Gaming A15 FA506NCG-HN200WS Laptop (AMD Ryzen 7 7445HS/ 16GB / 512GB SSD/ Win11 / 4GB Graph),Asus,64900,"4,6",69.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445HS,16 GB,DDR5,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
HP Victus 15-fb3125AX Gaming Laptop (AMD Ryzen 7 7445H/ 16GB/ 512GB SSD/ Win11/ RTX 3050),HP,68990,"4,05",56.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445H,16 GB,DDR5,512 GB SSD,NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,12.0
Acer Travel Lite TL14-42M Laptop (AMD Ryzen 3 7330U/ 16GB/ 512GB SSD/ Win11),Acer,31990,"4,3",61.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,16 GB,DDR4,512 GB SSD,Integrated AMD Radeon Graphics,14 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 512GB SSD/ MacOS/ 10-Core GPU),Apple,112900,"4,25",60.69506172839506,Mac OS,Apple M4,16 GB,Standard,512 GB SSD,Apple 10 Core GPU,15.3 inches,2560 x 1664 pixels,10 Cores (4P + 6E), 12 Threads,12.0
HP 15-fd0467TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,54990,"4,2",57.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB,DDR4,512 GB SSD,Intel Iris Xe,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
HP Victus 15-fb3025AX Gaming Laptop (AMD Ryzen 9 8945HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),HP,102411,"4,05",77.0,Windows 11 OS,8th Gen AMD Ryzen 9 8945HS,16 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
